Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-07-01,216.75,197.1999969482422,182.99000549316406,456.7300109863281,209.86000061035156
2024-07-02,220.27000427246094,200.0,185.24000549316406,459.2799987792969,231.25999450683594
2024-07-03,221.5500030517578,197.58999633789062,185.82000732421875,460.7699890136719,246.38999938964844
2024-07-05,226.33999633789062,200.0,190.60000610351562,467.55999755859375,251.52000427246094
2024-07-08,227.82000732421875,199.2899932861328,189.02999877929688,466.239990234375,252.94000244140625
2024-07-09,228.67999267578125,199.33999633789062,188.97999572753906,459.5400085449219,262.3299865722656
2024-07-10,232.97999572753906,199.7899932861328,191.17999267578125,466.25,263.260009765625
2024-07-11,227.57000732421875,195.0500030517578,185.57000732421875,454.70001220703125,241.02999877929688
2024-07-12,230.5399932861328,194.49000549316406,185.07000732421875,453.54998779296875,248.22999572753906
2024-07-15,234.39999389648438,192.72000122070312,186.52999877929688,453.9599914550781,252.63999938964844
2024-07-16,234.82000732421875,193.02000427246094,183.9199981689453,449.5199890136719,256.55999755859375
2024-07-17,228.8800048828125,187.92999267578125,181.02000427246094,443.5199890136719,248.5
2024-07-18,224.17999267578125,183.75,177.69000244140625,440.3699951171875,249.22999572753906
2024-07-19,224.30999755859375,183.1300048828125,177.66000366210938,437.1099853515625,239.1999969482422
2024-07-22,223.9600067138672,182.5500030517578,181.6699981689453,442.94000244140625,251.50999450683594
2024-07-23,225.00999450683594,186.41000366210938,181.7899932861328,444.8500061035156,246.3800048828125
2024-07-24,218.5399932861328,180.8300018310547,172.6300048828125,428.8999938964844,215.99000549316406
2024-07-25,217.49000549316406,179.85000610351562,167.27999877929688,418.3999938964844,220.25
2024-07-26,217.9600067138672,182.5,167.0,425.2699890136719,219.8000030517578
2024-07-29,218.24000549316406,183.1999969482422,169.52999877929688,426.7300109863281,232.10000610351562
2024-07-30,218.8000030517578,181.7100067138672,170.2899932861328,422.9200134277344,222.6199951171875
2024-07-31,222.0800018310547,186.97999572753906,171.5399932861328,418.3500061035156,232.07000732421875
2024-08-01,218.36000061035156,184.07000732421875,170.75999450683594,417.1099853515625,216.86000061035156
2024-08-02,219.86000061035156,167.89999389648438,166.66000366210938,408.489990234375,207.6699981689453
2024-08-05,209.27000427246094,161.02000427246094,159.25,395.1499938964844,198.8800048828125
2024-08-06,207.22999572753906,161.92999267578125,158.2899932861328,399.6099853515625,200.63999938964844
2024-08-07,209.82000732421875,162.77000427246094,158.94000244140625,398.42999267578125,191.75999450683594
2024-08-08,213.30999755859375,165.8000030517578,162.02999877929688,402.69000244140625,198.83999633789062
2024-08-09,216.24000549316406,166.94000244140625,163.6699981689453,406.0199890136719,200.0
2024-08-12,217.52999877929688,166.8000030517578,162.2899932861328,406.80999755859375,197.49000549316406
2024-08-13,221.27000427246094,170.22999572753906,164.16000366210938,414.010009765625,207.8300018310547
2024-08-14,221.72000122070312,170.10000610351562,160.3699951171875,416.8599853515625,201.3800048828125
2024-08-15,224.72000122070312,177.58999633789062,161.3000030517578,421.0299987792969,214.13999938964844
2024-08-16,226.0500030517578,177.05999755859375,162.9600067138672,418.4700012207031,216.1199951171875
2024-08-19,225.88999938964844,178.22000122070312,166.6699981689453,421.5299987792969,222.72000122070312
2024-08-20,226.50999450683594,178.8800048828125,167.17999267578125,424.79998779296875,221.10000610351562
2024-08-21,226.39999389648438,180.11000061035156,165.85000610351562,424.1400146484375,223.27000427246094
2024-08-22,224.52999877929688,176.1300048828125,163.8000030517578,415.54998779296875,210.66000366210938
2024-08-23,226.83999633789062,177.0399932861328,165.6199951171875,416.7900085449219,220.32000732421875
2024-08-26,227.17999267578125,175.5,166.16000366210938,413.489990234375,213.2100067138672
2024-08-27,228.02999877929688,173.1199951171875,164.67999267578125,413.8399963378906,209.2100067138672
2024-08-28,226.49000549316406,170.8000030517578,162.85000610351562,410.6000061035156,205.75
2024-08-29,229.7899932861328,172.1199951171875,161.77999877929688,413.1199951171875,206.27999877929688
2024-08-30,229.0,178.5,163.3800048828125,417.1400146484375,214.11000061035156
2024-09-03,222.77000427246094,176.25,157.36000061035156,409.44000244140625,210.60000610351562
2024-09-04,220.85000610351562,173.3300018310547,156.4499969482422,408.8999938964844,219.41000366210938
2024-09-05,222.3800048828125,177.88999938964844,157.24000549316406,408.3900146484375,230.1699981689453
2024-09-06,220.82000732421875,171.38999938964844,150.9199981689453,401.70001220703125,210.72999572753906
2024-09-09,220.91000366210938,175.39999389648438,148.7100067138672,405.7200012207031,216.27000427246094
2024-09-10,220.11000061035156,179.5500030517578,148.66000366210938,414.20001220703125,226.1699981689453
2024-09-11,222.66000366210938,184.52000427246094,151.16000366210938,423.0400085449219,228.1300048828125
2024-09-12,222.77000427246094,187.0,154.69000244140625,427.0,229.80999755859375
2024-09-13,222.5,186.49000549316406,157.4600067138672,430.5899963378906,230.2899932861328
2024-09-16,216.32000732421875,184.88999938964844,158.05999755859375,431.3399963378906,226.77999877929688
2024-09-17,216.7899932861328,186.8800048828125,159.32000732421875,435.1499938964844,227.8699951171875
2024-09-18,220.69000244140625,186.42999267578125,159.80999755859375,430.80999755859375,227.1999969482422
2024-09-19,228.8699951171875,189.8699951171875,162.13999938964844,438.69000244140625,243.9199981689453
2024-09-20,228.1999969482422,191.60000610351562,163.58999633789062,435.2699890136719,238.25
2024-09-23,226.47000122070312,193.8800048828125,161.85000610351562,433.510009765625,250.0
2024-09-24,227.3699951171875,193.9600067138672,162.2899932861328,429.1700134277344,254.27000427246094
2024-09-25,226.3699951171875,192.52999877929688,161.49000549316406,432.1099853515625,257.0199890136719
2024-09-26,227.52000427246094,191.16000366210938,162.72999572753906,431.30999755859375,254.22000122070312
2024-09-27,227.7899932861328,187.97000122070312,163.9499969482422,428.0199890136719,260.4599914550781
2024-09-30,233.0,186.3300018310547,165.85000610351562,430.29998779296875,261.6300048828125
2024-10-01,226.2100067138672,185.1300048828125,166.99000549316406,420.69000244140625,258.0199890136719
2024-10-02,226.77999877929688,184.75999450683594,165.86000061035156,417.1300048828125,249.02000427246094
2024-10-03,225.6699981689453,181.9600067138672,165.86000061035156,416.5400085449219,240.66000366210938
2024-10-04,226.8000030517578,186.50999450683594,167.05999755859375,416.05999755859375,250.0800018310547
2024-10-07,221.69000244140625,180.8000030517578,162.97999572753906,409.5400085449219,240.8300018310547
2024-10-08,225.77000427246094,182.72000122070312,164.3800048828125,414.7099914550781,244.5
2024-10-09,229.5399932861328,185.1699981689453,161.86000061035156,417.4599914550781,241.0500030517578
2024-10-10,229.0399932861328,186.64999389648438,162.0800018310547,415.8399963378906,238.77000427246094
2024-10-11,227.5500030517578,188.82000732421875,163.24000549316406,416.32000732421875,217.8000030517578
2024-10-14,231.3000030517578,187.5399932861328,164.9600067138672,419.1400146484375,219.16000366210938
2024-10-15,233.85000610351562,187.69000244140625,165.4600067138672,418.739990234375,219.57000732421875
2024-10-16,231.77999877929688,186.88999938964844,165.16000366210938,416.1199951171875,221.3300018310547
2024-10-17,232.14999389648438,187.52999877929688,162.92999267578125,416.7200012207031,220.88999938964844
2024-10-18,235.0,188.99000549316406,163.4199981689453,418.1600036621094,220.6999969482422
2024-10-21,236.47999572753906,189.07000732421875,164.07000732421875,418.7799987792969,218.85000610351562
2024-10-22,235.86000061035156,189.6999969482422,165.13999938964844,427.510009765625,217.97000122070312
2024-10-23,230.75999450683594,184.7100067138672,162.77999877929688,424.6000061035156,213.64999389648438
2024-10-24,230.57000732421875,186.3800048828125,162.72000122070312,424.7300109863281,260.4800109863281
2024-10-25,231.41000366210938,187.8300018310547,165.27000427246094,428.1499938964844,269.19000244140625
2024-10-28,233.39999389648438,188.38999938964844,166.72000122070312,426.5899963378906,262.510009765625
2024-10-29,233.6699981689453,190.8300018310547,169.67999267578125,431.95001220703125,259.5199890136719
2024-10-30,230.10000610351562,192.72999572753906,174.4600067138672,432.5299987792969,257.54998779296875
2024-10-31,225.91000366210938,186.39999389648438,171.11000061035156,406.3500061035156,249.85000610351562
2024-11-01,222.91000366210938,197.92999267578125,171.2899932861328,410.3699951171875,248.97999572753906
2024-11-04,222.00999450683594,195.77999877929688,169.24000549316406,408.4599914550781,242.83999633789062
2024-11-05,223.4499969482422,199.5,169.74000549316406,411.4599914550781,251.44000244140625
2024-11-06,222.72000122070312,207.08999633789062,176.50999450683594,420.17999267578125,288.5299987792969
2024-11-07,227.47999572753906,210.0500030517578,180.75,425.42999267578125,296.9100036621094
2024-11-08,226.9600067138672,208.17999267578125,178.35000610351562,422.5400085449219,321.2200012207031
2024-11-11,224.22999572753906,206.83999633789062,180.35000610351562,418.010009765625,350.0
2024-11-12,224.22999572753906,208.91000366210938,181.6199951171875,423.0299987792969,328.489990234375
